il s agit de monsieur mohamed jeanique	mohamed jeanique	1.0
le patient est mohamed jeanique	mohamed jeanique	1.0
monsieur jeanique mohamed	jeanique mohamed	1.0
on opere monsieur mohamed jeanique	jeanique mohamed	1.0
le patient c est mohamed	jeanique mohamed	0.0
le patient est mohamed jeanique	patient george sanjoge	0.0

thermo ablation micro ondes prevue	thermo ablation par micro ondes d une metastase hepatique d origine renale	1.0
on part sur une thermo ablation du foie	thermo ablation par micro ondes d une metastase hepatique d origine renale	1.0
radio frequence du foie	thermo ablation par micro ondes d une metastase hepatique d origine renale	0.0

site foie segment sept	foie segment sept par voie sous xiphoidienne	1.0
abord sous xiphoidien	foie segment sept par voie sous xiphoidienne	1.0
foie segment huit	foie segment sept par voie sous xiphoidienne	0.0

l heure prevue est dix heures trente	dix heures trente	1.0
demarrage a dix heures trente	dix heures trente	1.0
on commence a dix heures	dix heures trente	0.0

on est en salle trois	salle trois	1.0
bloc trois ok	salle trois	1.0
salle deux	salle trois	0.0

chirurgien docteur lefevre	docteur lefevre	1.0
lefevre present	docteur lefevre	1.0
docteur bernard	docteur lefevre	0.0

anesthesiste docteur bernard	docteur bernard	1.0
bernard pour l anesthesie	docteur bernard	1.0
docteur cohen	docteur bernard	0.0

aiguille unique quatorze centimetres	power cent watts six minutes	0.0
puissance cent watts pendant six minutes	power cent watts six minutes	1.0

il s agit de madame marie dejesus	marie dejesus	1.0
madame dejesus marie	dejesus marie	1.0
la patiente s appelle marie dejesus	marie dejesus	1.0
la patiente est marie dejesus	george sanjoge	0.0

embolisation veineuse pelvienne	embolisation veineuse pelvienne avec onyx	1.0
on embolise le pelvis avec onyx	embolisation veineuse pelvienne avec onyx	1.0
embolisation hemorroidaire	embolisation veineuse pelvienne avec onyx	0.0

veine gonadique gauche	veine gonadique gauche	1.0
cote gauche pour la veine gonadique	veine gonadique gauche	1.0
veine gonadique droite	veine gonadique gauche	0.0

heure prevue neuf heures	neuf heures	1.0
on demarre a neuf heures	neuf heures	1.0
on demarre a dix heures	neuf heures	0.0

salle deux	salle deux	1.0
bloc deux ok	salle deux	1.0
salle quatre	salle deux	0.0

chirurgien docteur marchand	docteur marchand	1.0
docteur marchand present	docteur marchand	1.0
docteur lefevre	docteur marchand	0.0

anesthesiste docteur cohen	docteur cohen	1.0
cohen pour l anesthesie	docteur cohen	1.0
docteur robert	docteur cohen	0.0

il s agit de monsieur george sanjoge	george sanjoge	1.0
monsieur sanjoge george	sanjoge george	1.0
le patient est george sanjoge	george sanjoge	1.0
le patient est mohamed jeanique	george sanjoge	0.0

embolisation de la prostate	embolisation de la prostate	1.0
on va emboliser la prostate	embolisation de la prostate	1.0
embolisation hemorroidaire	embolisation de la prostate	0.0

site prostate	prostate	1.0
prostate confirmee	prostate	1.0
foie segment sept	prostate	0.0

heure prevue quatorze heures	quatorze heures	1.0
on termine pour quatorze heures	quatorze heures	1.0
on commence a neuf heures	quatorze heures	0.0

salle quatre	salle quatre	1.0
bloc quatre ok	salle quatre	1.0
salle trois	salle quatre	0.0

chirurgien docteur leroy	docteur leroy	1.0
leroy present	docteur leroy	1.0
docteur marchand	docteur leroy	0.0

anesthesiste docteur robert	docteur robert	1.0
robert pour l anesthesie	docteur robert	1.0
docteur cohen	docteur robert	0.0
il s agit de madame amelie morel	amelie morel	1.0
la patiente est amelie morel	amelie morel	1.0
on confirme amelie morel pour ce dossier	amelie morel	1.0
c est morel amelie qui arrive	morel amelie	1.0
il s agit de madame amelie morel	lucien giraud	0.0
la patiente est lucien giraud	amelie morel	0.0
on confirme lucien giraud pour ce dossier	amelie morel	0.0
c est giraud lucien qui arrive	morel amelie	0.0
il s agit de monsieur lucien giraud	lucien giraud	1.0
le patient est lucien giraud	lucien giraud	1.0
on confirme lucien giraud pour ce dossier	lucien giraud	1.0
c est giraud lucien qui arrive	giraud lucien	1.0
il s agit de monsieur lucien giraud	sarah benali	0.0
le patient est sarah benali	lucien giraud	0.0
on confirme sarah benali pour ce dossier	lucien giraud	0.0
c est benali sarah qui arrive	giraud lucien	0.0
il s agit de madame sarah benali	sarah benali	1.0
la patiente est sarah benali	sarah benali	1.0
on confirme sarah benali pour ce dossier	sarah benali	1.0
c est benali sarah qui arrive	benali sarah	1.0
il s agit de madame sarah benali	nathan perrin	0.0
la patiente est nathan perrin	sarah benali	0.0
on confirme nathan perrin pour ce dossier	sarah benali	0.0
c est perrin nathan qui arrive	benali sarah	0.0
il s agit de monsieur nathan perrin	nathan perrin	1.0
le patient est nathan perrin	nathan perrin	1.0
on confirme nathan perrin pour ce dossier	nathan perrin	1.0
c est perrin nathan qui arrive	perrin nathan	1.0
il s agit de monsieur nathan perrin	ines lemaitre	0.0
le patient est ines lemaitre	nathan perrin	0.0
on confirme ines lemaitre pour ce dossier	nathan perrin	0.0
c est lemaitre ines qui arrive	perrin nathan	0.0
il s agit de madame ines lemaitre	ines lemaitre	1.0
la patiente est ines lemaitre	ines lemaitre	1.0
on confirme ines lemaitre pour ce dossier	ines lemaitre	1.0
c est lemaitre ines qui arrive	lemaitre ines	1.0
il s agit de madame ines lemaitre	marc gauthier	0.0
la patiente est marc gauthier	ines lemaitre	0.0
on confirme marc gauthier pour ce dossier	ines lemaitre	0.0
c est gauthier marc qui arrive	lemaitre ines	0.0
il s agit de monsieur marc gauthier	marc gauthier	1.0
le patient est marc gauthier	marc gauthier	1.0
on confirme marc gauthier pour ce dossier	marc gauthier	1.0
c est gauthier marc qui arrive	gauthier marc	1.0
il s agit de monsieur marc gauthier	lina bertin	0.0
le patient est lina bertin	marc gauthier	0.0
on confirme lina bertin pour ce dossier	marc gauthier	0.0
c est bertin lina qui arrive	gauthier marc	0.0
il s agit de madame lina bertin	lina bertin	1.0
la patiente est lina bertin	lina bertin	1.0
on confirme lina bertin pour ce dossier	lina bertin	1.0
c est bertin lina qui arrive	bertin lina	1.0
il s agit de madame lina bertin	paul renard	0.0
la patiente est paul renard	lina bertin	0.0
on confirme paul renard pour ce dossier	lina bertin	0.0
c est renard paul qui arrive	bertin lina	0.0
il s agit de monsieur paul renard	paul renard	1.0
le patient est paul renard	paul renard	1.0
on confirme paul renard pour ce dossier	paul renard	1.0
c est renard paul qui arrive	renard paul	1.0
il s agit de monsieur paul renard	hana dufour	0.0
le patient est hana dufour	paul renard	0.0
on confirme hana dufour pour ce dossier	paul renard	0.0
c est dufour hana qui arrive	renard paul	0.0
il s agit de madame hana dufour	hana dufour	1.0
la patiente est hana dufour	hana dufour	1.0
on confirme hana dufour pour ce dossier	hana dufour	1.0
c est dufour hana qui arrive	dufour hana	1.0
il s agit de madame hana dufour	yann lefevre	0.0
la patiente est yann lefevre	hana dufour	0.0
on confirme yann lefevre pour ce dossier	hana dufour	0.0
c est lefevre yann qui arrive	dufour hana	0.0
il s agit de monsieur yann lefevre	yann lefevre	1.0
le patient est yann lefevre	yann lefevre	1.0
on confirme yann lefevre pour ce dossier	yann lefevre	1.0
c est lefevre yann qui arrive	lefevre yann	1.0
il s agit de monsieur yann lefevre	noemie carrel	0.0
le patient est noemie carrel	yann lefevre	0.0
on confirme noemie carrel pour ce dossier	yann lefevre	0.0
c est carrel noemie qui arrive	lefevre yann	0.0
il s agit de madame noemie carrel	noemie carrel	1.0
la patiente est noemie carrel	noemie carrel	1.0
on confirme noemie carrel pour ce dossier	noemie carrel	1.0
c est carrel noemie qui arrive	carrel noemie	1.0
il s agit de madame noemie carrel	loic masson	0.0
la patiente est loic masson	noemie carrel	0.0
on confirme loic masson pour ce dossier	noemie carrel	0.0
c est masson loic qui arrive	carrel noemie	0.0
il s agit de monsieur loic masson	loic masson	1.0
le patient est loic masson	loic masson	1.0
on confirme loic masson pour ce dossier	loic masson	1.0
c est masson loic qui arrive	masson loic	1.0
il s agit de monsieur loic masson	clara jourdan	0.0
le patient est clara jourdan	loic masson	0.0
on confirme clara jourdan pour ce dossier	loic masson	0.0
c est jourdan clara qui arrive	masson loic	0.0
il s agit de madame clara jourdan	clara jourdan	1.0
la patiente est clara jourdan	clara jourdan	1.0
on confirme clara jourdan pour ce dossier	clara jourdan	1.0
c est jourdan clara qui arrive	jourdan clara	1.0
il s agit de madame clara jourdan	adil kader	0.0
la patiente est adil kader	clara jourdan	0.0
on confirme adil kader pour ce dossier	clara jourdan	0.0
c est kader adil qui arrive	jourdan clara	0.0
il s agit de monsieur adil kader	adil kader	1.0
le patient est adil kader	adil kader	1.0
on confirme adil kader pour ce dossier	adil kader	1.0
c est kader adil qui arrive	kader adil	1.0
il s agit de monsieur adil kader	emma leroux	0.0
le patient est emma leroux	adil kader	0.0
on confirme emma leroux pour ce dossier	adil kader	0.0
c est leroux emma qui arrive	kader adil	0.0
il s agit de madame emma leroux	emma leroux	1.0
la patiente est emma leroux	emma leroux	1.0
on confirme emma leroux pour ce dossier	emma leroux	1.0
c est leroux emma qui arrive	leroux emma	1.0
il s agit de madame emma leroux	thomas page	0.0
la patiente est thomas page	emma leroux	0.0
on confirme thomas page pour ce dossier	emma leroux	0.0
c est page thomas qui arrive	leroux emma	0.0
il s agit de monsieur thomas page	thomas page	1.0
le patient est thomas page	thomas page	1.0
on confirme thomas page pour ce dossier	thomas page	1.0
c est page thomas qui arrive	page thomas	1.0
il s agit de monsieur thomas page	dalia monet	0.0
le patient est dalia monet	thomas page	0.0
on confirme dalia monet pour ce dossier	thomas page	0.0
c est monet dalia qui arrive	page thomas	0.0
il s agit de madame dalia monet	dalia monet	1.0
la patiente est dalia monet	dalia monet	1.0
on confirme dalia monet pour ce dossier	dalia monet	1.0
